	foF2	hmF2	TEC
00:00	3.75	339	3.8
00:15	3.45	293.2	2.2
00:30	3.45	302.1	1.8
00:45	3.6	307.4	2.6
01:00	3.55	293.7	1.9
01:15	3.65	296	2.5
01:30	3.65	296.8	2.7
01:45	3.6	301.4	2.9
02:00	3.75	317.5	3.5
02:15	3.65	294.6	3.1
02:30	3.55	286.9	2.7
02:45	3.45	289.5	2.5
03:00	3.35	287	2.1
03:15	3.25	270.6	1.5
03:30	3	308.3	2.5
03:45	2.9	283	1.4
04:00	2.85	293.6	1.6
04:15	2.75	315.2	1.9
04:30	2.75	290.2	1.5
04:45	2.75	267.9	1.4
05:00	2.9	286.9	1.9
05:15	2.7	251.8	1.3
05:30	2.85	266.8	1.6
05:45	2.4		
06:00	2.3	302	1.4
06:15	2.15	239.5	0.6
06:30	2	292.6	0.8
06:45	2.25	349.4	1.8
07:00	2.45	295.7	1.6
07:15	3.25	292.3	3.4
07:30	3.7	239.4	1.9
07:45	4.1	222.8	2.6
08:00	5.35	231.7	4.9
08:15	5.45	189	3.1
08:30	5.8	185.3	2.3
08:45	5.45	195	3.8
09:00	5.5	190.6	2.9
09:15	6.5	219.2	8.9
09:30	5.5	205.4	5.2
09:45	5.8	210.4	5.9
10:00	6.7	200.1	4.7
10:15	5.8	176.2	3.1
10:30	5.9	217	7.2
10:45			
11:00	5.925	192.4	3.3
11:15	5.975	211.8	3.6
11:30	6	195.2	5.3
11:45	5.8	189.4	5
12:00	5.925	229.2	7.9
12:15	6.85	219.2	8.8
12:30	6.9	208.7	6.7
12:45	6.1	191.8	4.6
13:00	5.751	212.2	4.8
13:15	7.1	204	6.1
13:30	6.15	189.4	4
13:45	5.7	222.4	7.3
14:00	5.9	206.5	4.3
14:15	5.425	191.3	3.8
14:30	5.125	234	7.1
14:45	5.225	220.1	5.9
15:00	4.95	192.6	3.2
15:15	4.6	214.7	3.9
15:30	4.362	204.4	2.8
15:45	4.4	230.6	3.6
16:00	4.15	224.6	2.4
16:15	4.15	216.6	1.6
16:30	5.15	288.4	7.9
16:45	4.35	233.5	2.7
17:00	3.7	212.1	1.2
17:15	3.25	252.4	1.8
17:30	3.2		
17:45	2.95	234	1
18:00	2.65	236.5	1
18:15	2.35		
18:30	2.05	245.6	0.4
18:45	2.05	269.8	0.5
19:00	2.15	276.5	0.6
19:15	2.15	279.4	0.7
19:30	2.25	301.6	1.1
19:45	2.4	297.4	1.2
20:00	2.4	278.3	1.1
20:15	2.3	350.3	1.7
20:30	2.4	322.6	1.3
20:45	3.2	376.6	3.2
21:00	2.85	304.2	1.4
21:15	3	294.9	2.1
21:30	3.05	291.7	2.3
21:45	3	304	2.3
22:00	3.05	323.9	2.6
22:15	3	325.9	2.5
22:30	3	323.8	2.2
22:45	2.95	301.5	1.3
23:00	3	328.4	2.2
23:15	3.1	327.2	2.1
23:30	3.15	307	1.6
23:45	3.35	328.8	2.8
00:00	3.5	337.6	3.1
00:15	3.4	294.3	2
00:30	3.4	292	2.1
00:45	3.4	299.2	2.3
01:00	3.45	304.1	2.4
01:15	3.65	337.8	3.8
01:30	3.65	338.2	3.9
01:45	3.5	322.8	3.1
02:00	3.5	321	3.1
02:15	3.3	298.8	1.9
02:30	3.35	322.2	2.8
02:45	3.25	317.2	2.3
03:00	3.15	318.3	2.4
03:15	3	303.6	2
03:30	2.9	291.5	1.4
03:45	2.8	305.2	1.7
04:00	2.7	301.6	1.5
04:15	2.7	321.8	1.8
04:30	2.65	317.3	1.7
04:45	2.65	292.9	1.4
05:00	2.75	288.5	1.6
05:15	2.85	258.6	1.2
05:30	2.75	254	1.4
05:45	2.95	291.2	2.2
06:00	2.65	257.1	1
06:15	2.55	259.2	0.9
06:30	2.65	297.3	1.9
06:45	2.65	243.4	1.1
07:00	2.7	231.1	1
07:15	3.2	263.2	2.4
07:30	3.55	273.7	3.7
07:45	4.1	227.2	2.3
08:00	4.2	210.3	2.2
08:15	4.654	209.1	3.4
08:30	4.975	216.5	4
08:45	5.1	218.3	5.3
09:00	5.925	206	3.7
09:15	5.925	192.5	2.9
