	foF2	hmF2	TEC
00:00	3.5	305.3	2.7
00:15			
00:30	3.3	296.4	2.7
00:45	3.3	322.7	3
01:00	3.3	341.1	3.2
01:15	3.4	345	3.6
01:30	3.5	348.5	3.8
01:45	3.4	295.5	2.2
02:00	3.4	280.8	1.6
02:15	3.4	294.6	2.6
02:30	3.5	294.1	2.7
02:45	3.5	289.8	2.5
03:00	3.6	270.8	2
03:15	3.3	276.2	2.4
03:30	3.1	311.1	2.5
03:45	3	315.6	2.4
04:00	2.9	306	2
04:15	3	340.3	2.9
04:30	2.8	288.4	1.6
04:45	2.7	322.6	2.1
05:00	2.4	282.9	0.9
05:15	2.5	293	1.1
05:30	2.7	309.2	1.9
05:45	3.2	360.1	4
06:00	3	293.2	2.1
06:15	3.1	317	3
06:30	3.2	280	2.2
06:45	3.2	261.8	2.2
07:00	3.65	259.1	3.3
07:15	3.9	212.1	1.5
07:30	4.45	231.6	3.5
07:45	4.925	261.5	7.3
08:00	5.55	206.3	3.1
08:15	4.825	184.7	2.3
08:30	5.025	209.2	4
08:45	4.8	190.7	3.3
09:00	4.613	191.7	4
09:15	5.35	243	9.1
09:30	6.5	230.8	6.7
09:45	7.15	239.5	9.6
10:00	8.5	224.2	8.6
10:15	8.225	223.1	10.1
10:30			
10:45	9.301	234.5	12.3
11:00			
11:15	8.525	205.1	7.4
11:30	7.025	197.3	5.9
11:45			
12:00	5.95	199.7	6.4
12:15			
12:30	5.403	179.5	4.2
12:45	5.05	179.6	3.9
13:00	4.85	188.5	4.6
13:15	5.15	186.3	4.2
13:30	6.05	270.4	13.6
13:45	6.65	244.9	11.3
14:00	6.65	226.7	8.6
14:15	6.2	226.5	7.7
14:30	5.7	211.6	5.7
14:45	6	233.5	6.3
15:00	6.813	217.6	4.8
15:15			
15:30	5.525	195.8	4.3
15:45			
16:00	4.85	209	4
16:15	4.275	231.6	4.9
16:30	3.825	217.7	2.5
16:45	3.75	255.9	3.7
17:00	4	306.5	5.4
17:15	4.1	308.9	5.4
17:30	3.9	240.8	1.4
17:45	3.7	242	2.3
18:00	3.7	306	3.6
18:15	3.8	263.8	1.9
18:30	3.7	236.8	1.2
18:45	3.9	263.9	2.8
19:00	3.4	239.7	1.4
19:15	3.2	251.5	1.4
19:30	3.1	265	2
19:45	3.6	331.9	4.3
20:00	2.9	240.7	1
20:15	2.9	257.7	1.6
20:30	2.3	221.5	0.5
20:45	2.4	302.7	1.4
21:00	2.5	370.5	2.1
21:15	2.5	312.2	1.2
21:30	3.1	379.5	3.6
21:45	2.9	333	2.5
22:00			
22:15			
22:30			2.7
22:45	3	329.1	2.1
23:00	3	328.2	2
23:15	3	327.5	2
23:30	2.9	308.7	1.3
23:45	3	314.3	1.8
00:00	3.1	324.8	2.4
00:15	3.1	350.7	3
00:30	3.1	324.2	2.1
00:45	3.2	347.9	3
01:00	3.1	311.2	1.6
01:15	3.1	309.6	1.6
01:30	3.3	336.9	3
01:45	3.1	311.1	1.8
02:00	3.1	309.1	1.7
02:15	3.1	312.4	1.8
02:30	3.1	350.3	2.9
02:45	3	326.7	2.2
03:00	3.1	358	3
03:15	3.1	358.2	3.1
03:30	3	317.8	2
03:45	2.9	306.4	1.7
04:00	2.8	288.3	1.2
04:15	2.8	290.6	1.3
04:30	2.8	311.1	1.9
04:45	2.8	316.1	2.2
05:00	2.6	261.1	0.9
05:15	2.6	267.5	1.2
05:30	2.7	269.1	1.2
05:45	2.8	274.6	1.4
06:00	2.9	270	1.6
06:15	3	268.2	2
06:30	2.7	283.7	2.2
06:45	3.1	293.5	2.8
07:00	3.3	248.3	2.5
07:15	3.3	247.2	2.9
07:30	3.862	227.6	2.7
07:45	4.05	206	2
08:00	3.95	196.3	2
08:15	3.65	191.7	1.8
08:30	4.5	240.5	6
08:45	4.225	204.5	4.1
09:00	4.85	232.9	7.2
09:15	6.2	232.4	7.7
09:30	6.8	209.1	4.6
09:45			
10:00	7.325	214.3	7.8
10:15			
10:30	7	210.9	7.1
10:45			
11:00	6.85	203.4	7.2
11:15	6.525	199.6	5.9
11:30	6.75	194.3	4.6
11:45	6	187.8	4.7
12:00	5.55	182.1	4.3
12:15	5.15	182.6	4.5
12:30	5.106	169	3
12:45	4.85	188.8	5.3
13:00	6.25	270.8	15.3
13:15	6.825	250.5	12
13:30			
13:45	6.55	212	6.6
14:00			
14:15	6.25	219.3	8.2
14:30			
14:45	6.45	215.4	7.2
15:00	6.05	218.6	8.1
15:15	5.45	201.6	3.8
15:30	5.05	205.1	3.8
15:45	5.05	205.2	3.9
16:00	5.15	217.8	5
16:15	4.85	278.2	9.9
16:30	5.012	222.1	2.9
16:45	4.85	247.3	5.2
17:00	4.8	261.9	6
17:15	3.8	217.6	1.2
17:30	3.5	275.4	3.6
17:45	3.3	237.5	0.7
18:00	3	264.9	2
18:15			
18:30	2.9	255.3	1.5
18:45	2.9	291.9	2.1
19:00	3.1	317.3	2.7
19:15	3.1	305.2	2
19:30	3	246.2	0.6
19:45			2
20:00	2.9	249.8	1.3
20:15	3	308.8	2.7
20:30			
20:45	3.1	326.5	2.8
21:00	3.1	297.1	2.2
21:15	3.1	317.2	2.5
21:30	3.2	303.7	2.6
21:45	3.3	348.4	3.5
22:00	3.2	323.1	2.4
22:15	3.4	316.8	2.3
22:30	3.4	314.7	2.5
22:45	3.5	321.3	2.7
23:00	3.6	354.2	4.5
23:15	3.7	322.9	3.1
23:30	3.8	333.9	4.1
23:45	3.7	280.4	2.1
00:00	3.8	320.3	4.4
00:15	3.8	325.3	4.5
00:30	3.9	352.1	5.1
00:45	3.9	342.8	4.5
01:00	3.9	297.5	2.5
01:15	4	280.3	2.5
01:30	4	302.8	3.9
01:45	4	284.2	3.6
02:00	3.8	265.4	2.7
02:15	3.7	255.5	1.9
02:30	3.6	240.8	1.5
02:45	3.6	288.3	3.3
03:00	3.5	244.5	1.4
03:15	3.5	294.8	3.5
03:30	3	253.2	1.6
03:45	3.1	322.5	3.4
04:00	3.1	318.6	2.8
04:15	3.1	287.5	1.8
04:30	3.3	294.4	2.8
04:45	3.1	252.2	1.6
05:00	3.1	263.9	1.9
05:15	2.9	288	2.1
05:30	2.8	280.5	1.8
05:45	2.8	308.6	2.4
06:00	2.4	292.2	1.5
06:15	2.4	293	1.4
06:30	2.4	232.8	0.7
06:45	2.4	231.8	1.1
07:00	2.9	270.5	2.1
07:15	3.303	250.9	2.8
07:30	4.1	242.3	3.8
07:45			
08:00			
08:15	5.55	197.1	4.9
08:30	5.125	201.2	5
08:45	5.5	249.6	9.1
09:00	5.801	221.3	7.2
09:15	6.25	218	7.2
09:30	5.825	222	8.4
09:45	8.15	229.4	8.4
10:00			
10:15	7.7	197.6	5.9
10:30	7.1	205.9	6.9
10:45	6.95	202.1	5.6
11:00	6.85	204.5	6.8
11:15	6.35	205.3	7.6
11:30	6.45	208.8	7
11:45	6.25	188	4.6
12:00	5.512	201.3	6.7
12:15	5.05	178.1	3.6
12:30	5.05	180.6	4.3
12:45	4.75	234.7	9.7
13:00	5.95	242.1	9.6
13:15			
13:30	6.85	203.8	6.6
13:45	5.95	219.6	8.4
14:00	5.35	216.1	6.8
14:15	5.65	206.3	5.8
14:30	5.713	214.1	5.6
14:45	5.65	234.8	8.6
15:00	5.75	206.7	4.8
15:15	5.925	218.5	5.4
15:30	5.5	200.1	3.9
15:45	4.9	231.1	6.7
16:00	4.3	199.9	3.1
16:15	4.1	220.1	3.7
16:30	4.45	250.9	5.6
16:45	4.6	231.7	2.9
17:00			4.6
17:15	4.2	231.3	1.7
17:30	4.4	273.5	3.2
17:45	4.3	248.2	2.8
18:00	3.4	212.6	0.9
18:15			2.1
18:30			
18:45			
19:00			3.2
19:15			3.3
19:30			2
19:45	3.1	281.3	1.8
20:00			1.4
20:15			
20:30			
20:45			
21:00			
21:15			
21:30			
21:45			
22:00			
22:15			
22:30			
22:45			
23:00			2.9
23:15	3.2	311.5	2.4
23:30	3.1	313	2.5
23:45	3.2	337.3	3.4
