	foF2	hmF2	TEC
00:00			
00:15			
00:30	2.65	300	1.4
00:45	2.4	282	1
01:00	2.4	293.3	1.4
01:15	2.2	314.8	1.2
01:30	2.15	279.8	0.7
01:45	2.2	281.6	0.9
02:00	2.3	268.5	0.9
02:15	2.25	273	1
02:30	2.25	239.1	0.6
02:45	2.2	251.9	0.9
03:00	2.05	229.5	0.5
03:15	2.05	261.4	0.9
03:30			0.6
03:45			0.7
04:00			
04:15			0.6
04:30			0.3
04:45			0.9
05:00			1.2
05:15	2.55	259.2	1.1
05:30	3.2	245.1	1.6
05:45	3.75	241.5	2.6
06:00			
06:15	5.625	216.5	4
06:30	5.775	226.9	4.8
06:45	6.2	220.8	5.6
07:00	5.875	196.2	3.4
07:15	5.35	193	2.9
07:30	6.1	196.9	2.5
07:45	5.65	196.6	4.2
08:00	5.375	224.7	7
08:15	5.7	205.4	4.9
08:30	5.7	195.9	3.3
08:45	5.65	182.5	2.8
09:00	5.525	210.1	6
09:15	6.125	209.8	5.6
09:30	5.675	211.3	6.1
09:45	5.95	219.9	6.8
10:00	6.45	231.1	8.4
10:15	6.675	226.6	7.7
10:30	6.425	225.8	7.3
10:45	6.825	219.1	6.5
11:00			
11:15			
11:30	6.175	208.7	4.3
11:45			
12:00	5.825	197.4	3.3
12:15	4.95	202.1	3.1
12:30	4.475	204.6	2.8
12:45	4.525	220.1	3.3
13:00	4.5	219.8	3.2
13:15	4.5	226.8	3.5
13:30	4.225	231.4	2.9
13:45	4.55	264	3.2
14:00	4.55	228.6	2
14:15	4.2	233.8	2.4
14:30	3.9	238.8	1.8
14:45	3.4	220.2	1
15:00	2.6	218	0.9
15:15	2.3	261.5	0.9
15:30	2.1	232.2	0.5
15:45			
16:00			
16:15			
16:30			0.3
16:45			
17:00			
17:15			0.5
17:30			
17:45			0.6
18:00			0.8
18:15			
18:30			
18:45			0.6
19:00			0.8
19:15			
19:30	2.15	309.3	0.9
19:45	2.1	311.5	1
20:00	2.2	328.9	0.9
20:15			0.6
20:30			0.8
20:45			0.7
21:00			0.8
21:15	2	319.9	0.8
21:30	2.1	324.9	1
21:45	2.25	318	1
22:00	2.35	336	1.6
22:15	2.45	301.6	0.9
22:30	2.6	309.3	1.4
22:45	2.6	309.9	1.5
23:00	2.65	303.5	1.4
23:15	2.6	286.7	1.1
23:30	2.55	287.3	0.9
23:45	2.55	290.5	1.3
00:00	2.5	283.9	1
00:15	2.5	303.4	1.5
00:30	2.35	282.6	0.8
00:45	2.25	280.3	0.8
01:00	2.1	325.7	1.3
01:15	2	285.9	0.5
01:30	2.1	332.3	1.1
01:45			0.7
02:00			0.6
02:15			0.5
02:30			
02:45			0.6
03:00			0.7
03:15			0.6
03:30			0.5
03:45			1
04:00			0.3
04:15			
04:30			0.5
04:45			
05:00	1.95	283.8	0.9
05:15	2.3	244.1	0.8
05:30	3.1	242.7	1.5
05:45	4.05	240.2	2.8
06:00	4.8	225.8	3.2
06:15	5.175	209.2	3
06:30	4.95	204.5	3.7
06:45	4.975	221.1	4.4
07:00	5.675	204	4.8
07:15	5.275	195.7	3.7
07:30	5.313	203.2	3.1
07:45	6.175	200.8	4.2
08:00	5.125	197.6	3.8
08:15			2.2
08:30	4.975	199.4	2.8
08:45	4.925	222.3	5.4
09:00		199.7	4
09:15	4.4	210.8	4.9
09:30	4.075	197.6	3.2
09:45	4.775	196	3.8
10:00	5.225	197.7	2.2
10:15	5.15	201.5	4.2
10:30	5.05	219.5	6
10:45	6.45	226.2	7.1
11:00	7.025	210.3	5.6
11:15	6.7	205.8	6.2
11:30	5.825	193	3.9
11:45	5.575	196	3.2
12:00	4.563	185.9	2.6
12:15	4.375	217.7	4
12:30	4.65	215.8	3.7
12:45	5.05	234.5	4.4
13:00	5.15	230.8	4.9
13:15	4.65	231.4	4.2
13:30	4.4	251.1	4
13:45	4.55	251.4	3.6
14:00	4.1	236.3	2.6
14:15	3.85	248.3	2.3
14:30	3.7	240.4	1.7
14:45	3.4	231.4	1.4
15:00	2.9	242.7	1.2
15:15	2.85	245.6	0.9
15:30	2.7	224.6	0.7
15:45	2.6	242.4	1
16:00	2.15	235.5	0.6
16:15			
16:30			0.8
16:45			
17:00			
17:15			
17:30			
17:45			
18:00			
18:15			
18:30			0.8
18:45			0.6
19:00	2.2	311.8	1
19:15	2.2	298.6	0.9
19:30			0.6
19:45			0.6
20:00	2	300.6	0.6
20:15			
20:30			
20:45	1.8	303.2	0.5
21:00	2	347.7	1
21:15	2.1	336.9	1.1
21:30	2.3	385.2	1.5
21:45	2.3	315.8	1.2
22:00	2.45	314.9	1.5
22:15	2.45	301.7	0.9
22:30	2.55	312.8	1.6
22:45	2.5	293.5	1
23:00	2.45	264.8	0.7
23:15	2.4	270.7	1
23:30	2.45	282.7	1
23:45	2.35	292.6	0.9
00:00	2.4	289.5	0.7
00:15	2.45	292.9	1
00:30	2.6	305.6	1.3
00:45	2.65	302.2	1.5
01:00	2.15	263	0.5
01:15	2.15	273.8	0.4
01:30	2.4	328.7	1.2
01:45	2	293.3	0.7
02:00			1
02:15			0.6
02:30	1.95	263.6	0.4
02:45	1.85	246.8	0.3
03:00			0.5
03:15			0.6
03:30	1.95	286.7	0.8
03:45			0.5
04:00			0.4
04:15			0.6
04:30			0.8
04:45			0.6
05:00	2.1	285	1.1
05:15	2.45	256	0.9
05:30	2.9	255	1.7
05:45	3.9	232.9	2.4
06:00	4.75	227.9	3.6
06:15			
06:30	5.025	227.3	5.1
06:45			3.5
07:00	7.413	203.2	4.3
07:15	6.65	203.5	5.4
07:30	6.35	211.9	4.7
07:45	6.25	204.9	4.6
08:00	5.975	197.7	4.1
08:15	5.675	209.3	5.4
08:30	6.15	204.5	4.3
08:45	5.875	200.1	4.6
09:00	5.563	196.4	4.2
09:15	5.525	214.7	6.6
09:30	5.45	203.4	5.5
09:45	5.65	214.2	6.4
10:00	5.425	215.3	6.5
10:15	5.975	226.5	7.1
10:30	6.525	241.6	10
10:45	7	215.5	6.2
11:00	6.55	210.1	7.4
11:15	6.65	211.9	6.5
11:30	6.8	199.1	4.8
11:45	5.813	193.2	3.8
12:00	4.85	192.6	3.8
12:15	4.825	208	4.2
12:30	4.55	197.9	3.5
12:45	4.65	219.9	3.8
13:00	4.95	218.3	3.1
13:15	4.75	216.6	3.2
13:30	4.15	215.5	2.2
13:45	3.8	230.9	2.1
14:00	3.65	245.8	2.3
14:15	3.45	226.3	1.5
14:30	2.7	225.5	1
14:45	2.45	233.7	0.9
15:00	2.25	279.3	0.8
15:15	2.2	270.9	0.6
15:30	2.15	265.6	0.6
15:45			1.2
16:00	1.95	270	0.7
16:15			
16:30			
16:45			
17:00			
17:15			
17:30			
17:45			
18:00			
18:15			
18:30	2.1	307.2	0.8
18:45	2.05	318.4	0.9
19:00	1.95	286.7	0.5
19:15			0.7
19:30			0.9
19:45	1.95	305.5	0.6
20:00	2.05	311.8	0.8
20:15	2.1	302.9	0.7
20:30	2.1	297.2	0.6
20:45	2.3	304.3	0.9
21:00	2.4	297.6	0.9
21:15	2.55	307.1	1.2
21:30	2.7	311.4	1.2
21:45	2.85	300	1.3
22:00	2.9	285.5	1.1
22:15	2.9	275.8	0.9
22:30	3.25	278.4	1.7
22:45	2.95	275.1	1.8
23:00	2.7	270.5	1.2
23:15	2.75	292.9	1.4
23:30	2.75	295.1	1.6
23:45	2.85	294.1	1.6
