	foF2	hmF2	TEC
00:00	4.095	323.9	2.7
00:15	4.095	327.4	3.1
00:30	3.99	317.2	2.5
00:45	3.99	317.6	2.5
01:00	3.92	324.1	2.7
01:15	3.78	317.7	2.1
01:30	3.99	329.6	2.9
01:45	3.99	308.9	2.3
02:00	3.78	291.7	1.8
02:15	4.095	314.8	3.7
02:30	3.85	306.6	3.2
02:45	3.01	267.3	0.8
03:00	3.745	353.7	4
03:15	3.78	360.1	3.9
03:30	3.85	328.4	3.2
03:45	3.78	304.7	2.6
04:00	3.64	287.6	2.2
04:15	4.025	291.2	3.2
04:30	4.585	261.5	3
04:45	5.74	244.8	4.2
05:00	6.79	239.1	7.6
05:15	7.84	225	8.7
05:30	8.54	222.8	9.2
05:45	8.365	219.6	9.9
06:00	8.785	223.5	12.1
06:15	8.89	226.7	11.7
06:30	9.52	229	15.8
06:45	9.52	220.9	14.8
07:00	9.345	211.2	12.7
07:15	9.73	227.4	18.5
07:30	9.52	207.4	15.1
07:45	9.66	231.6	19.4
08:00	9.765	222.2	15.5
08:15	9.328	226.7	15.6
08:30	9.398	235.5	18.3
08:45	9.555	227.4	15.4
09:00	8.9	221.4	14.7
09:15	9	242.6	20.5
09:30	9.55	252.2	21
09:45	9.75	234.5	18.7
10:00	10.05	245.3	20
10:15	9.6	221.5	14.5
10:30	9.8	227.8	14.9
10:45	9.925	243.3	19
11:00	10.05	232	20.6
11:15	9.825	239.5	20.3
11:30	9.6	245.6	19.6
11:45	10.05	245.6	17.2
12:00	9.95	235.6	12.7
12:15	9.775	222.8	9.9
12:30	10.25	226.2	11.3
12:45	9.8	211.2	8.9
13:00	9.45	210.4	10.7
13:15	9.2	232.2	16.8
13:30	8.75	237.6	16.7
13:45	8.95	240.2	15.4
14:00	8.82	242.6	16.5
14:15	9.03	249.7	16.5
14:30	9.275	244.3	16.1
14:45	9.52	233	11.6
15:00	8.855	216.4	8.3
15:15	9.415	218.7	7.6
15:30	9.555	219.3	5.6
15:45	9.24	231.2	10.5
16:00	8.225	234	9.8
16:15	7.14	235.5	7.4
16:30	6.16	232.7	4.9
16:45	5.565	244.9	3.7
17:00	5.215	242	2.6
17:15	4.9	243.7	3
17:30	4.62	250.2	2.8
17:45	4.445	250	2.3
18:00	4.34	263.4	2.8
18:15	4.13	260.9	2.4
18:30	3.99	256.4	1.9
18:45	3.78	254.5	1.8
19:00	3.605	275.1	1.5
19:15	3.36	265.3	1.5
19:30	3.5	300	1.9
19:45	3.5	287.5	1.6
20:00	3.605	292	1.9
20:15	3.605	289.9	1.9
20:30	3.675	294.1	1.9
20:45	3.57	288.2	1.5
21:00	3.57	293.7	1.5
21:15	3.745	310.7	2.1
21:30	3.92	309.8	2.3
21:45	3.92	293.3	1.9
22:00	3.955	286.2	1.9
22:15	3.605	272.7	1.4
22:30	3.605	282.6	1.7
22:45	3.605	279.5	1.5
23:00	2.45		
23:15	3.815	301.7	2.6
23:30	3.535	282.3	1.6
23:45	3.57	297.2	2
00:00	3.57	306	1.7
00:15	3.675	314.1	2.1
00:30	3.78	334.9	3.1
00:45	3.745	326.9	2.6
01:00	3.85	320.9	2.5
01:15	3.92	320.2	2.9
01:30	3.92	308.6	2.8
01:45	3.885	298.1	2.4
02:00	3.815	295.6	2.3
02:15	3.92	299.2	3
02:30	3.955	283.6	2.3
02:45	3.955	277.8	2.4
03:00	3.78	256.6	1.5
03:15	3.78	267	2.2
03:30	3.535	252.5	1.5
03:45	3.325	270.6	1.9
