	foF2	hmF2	TEC
00:00	4.225	365.3	4.4
00:15	4.25	375.6	4.7
00:30	4.1	361.7	3.8
00:45	4.1	373.9	4.2
01:00	4.075	381	4.5
01:15	3.775	364.1	3.3
01:30	3.975	412	5.4
01:45	4.05	409.9	4.7
02:00	3.825	357.5	3.1
02:15			
02:30			
02:45	3.475	567.5	5.5
03:00	3.575	366.4	3.6
03:15	3.45	347	2.7
03:30	3.375	351	2.9
03:45	3.275	345.2	2.8
04:00	3.025	329.5	1.9
04:15	3	371.1	2.7
04:30	2.75	334.5	1.6
04:45	2.925	219.2	0.4
05:00	2.575	318.1	1.3
05:15	2.625	334.7	1.8
05:30			
05:45	2.55	290.1	1.2
06:00	2.875	312	1.8
06:15	3	268.8	1.6
06:30	3.525	262	2.3
06:45	4.075	244.3	2.9
07:00	4.775	258.6	5.3
07:15	5.4	237.3	4.9
07:30	5.8	230.5	4.8
07:45	5.8	222.6	6
08:00	6.5	231.2	8.1
08:15	6.813	222.1	7.9
08:30	7.013	215	6.6
08:45	6.763	207.8	6.7
09:00	6.775	219.3	8.3
09:15	7.15	240.2	13
09:30	7.763	236.8	11.6
09:45	8.125	230.6	13.4
10:00	8.225	233.7	13.9
10:15	8.25	220.6	12.1
10:30	8.388	244.1	17.4
10:45	8.888	236.3	15.9
11:00	9.1	245.6	18.9
11:15	9.663	243	19.2
11:30	9.788	230.3	16.1
11:45	9.788	247.6	21.3
12:00	9.8	214	10.6
12:15	9.813	237	20.2
12:30	9.232	232.2	18.6
12:45	8.863	244.3	20
13:00	9.225	242.8	19.1
13:15	9.25	237.6	19.2
13:30	8.975	238.5	19.1
13:45	8.75	238.5	18.7
14:00	8.375	232.9	15.4
14:15	8.3	250.8	17.7
14:30	8.875	252.3	18
14:45	9.013	246.2	16.5
15:00	9.2	240.7	14.2
15:15	9.513	237.6	14.4
15:30	9.3	237.2	14.7
15:45	8.925	235	13.7
16:00	8.663	235.9	13.6
16:15	8.325	235.6	11.5
16:30	8	236.5	9.8
16:45	7.675	243.6	10.4
17:00	7.125	258.1	11.4
17:15	6.7	249.7	7.6
17:30	6.3	259.1	7.3
17:45	6.25	244.3	4.7
18:00	5.55	251.7	4.7
18:15	5.4		
18:30	5.35	268.9	4.7
18:45	5.325	269.8	4.9
19:00	5.05	245.7	2.3
19:15	5.1	259.7	3.5
19:30	4.75	249.8	3
19:45	4.375		
20:00	4.2		
20:15	4.075	281.7	3
20:30	3.75		
20:45	2.875	244.3	0.6
21:00	3.625	300.7	2.5
21:15	3.475	278.7	1.4
21:30	3.575	286.8	1.8
21:45	3.45	306.4	2.4
22:00	3.325	325.4	2.4
22:15	3.425	358.6	3.5
22:30	3.45	354.1	3.4
22:45	3.45	328.6	2.5
23:00	3.425	329.4	2.4
23:15	3.45	342	2.9
23:30	3.475	324.9	2.2
23:45	3.375	313.5	1.6
00:00	3.325	319.3	1.7
00:15	3.2	314.6	1.6
00:30	3.2	329.1	2
00:45	3.325	338	2.2
01:00	3.3	320.5	1.8
01:15	3.3	311.5	1.7
01:30	3.375	339.9	2.8
01:45	3.325	322.7	2.1
02:00	3.425	367.7	4.1
02:15	3.35	345.5	2.9
02:30	3.275	329.9	2.2
02:45	3.2	332.8	2
03:00	3.35	338.7	2.5
03:15	3.375	328.9	2.3
03:30	3.25	306.9	1.7
03:45	3.5	338.6	2.8
04:00	3.425	336.4	2.8
04:15	3.275	313.3	2.2
04:30	3.2	303	1.9
04:45	3.2	294.8	1.8
05:00	3.175	296.9	2.2
05:15	3	275.6	1.3
05:30	2.85	236.5	0.6
05:45	2.55	263.8	0.9
06:00	2.575	275.2	1.1
06:15	2.9	263.1	1.3
06:30	3.875	272.6	3.2
06:45	4.625	243.5	3.6
07:00	5.3	238.4	5.2
07:15	5.95	233	5.8
07:30	6.525	224.8	6.7
07:45	6.613	227.1	8.2
08:00	7.175	227.3	10.3
08:15	7.938	226.5	10.1
08:30	8.025	208.2	8.4
08:45	7.363	221.1	10.9
09:00	7.5	206.1	6.8
09:15	8.087	223.7	10.3
09:30	7.725	204.8	8.5
09:45	8.25	226.7	11.1
10:00	8.075	233.8	14.2
10:15	8.588	229.4	11.6
10:30	8.7		
10:45	9.075	232.1	16.9
11:00	9.025	228.4	16.9
11:15	9.6	225.6	16.9
11:30	9.913	226.7	17.3
11:45	9.613	222.1	14.3
12:00	9.425	222.5	16.6
12:15	9.238	232	18.2
12:30	8.725	225.6	15.5
12:45	8.775	243.5	19.1
13:00	8.65	230.5	15.1
13:15	8.738	258.5	21.8
13:30	8.888	240.5	16.5
13:45	8.163	229.6	14.6
14:00	8.225	244.2	17.8
14:15	9.088	273.7	26.5
14:30	9.525	228.8	19.7
14:45	8.225	206.4	9.9
15:00	9.525	240.5	20.2
15:15	9.7	234.1	16.7
15:30	9.075	245.7	13.2
15:45	9.038	238.5	14.7
16:00	8.675	238.2	13.8
16:15	8.325	236.2	10.4
16:30	8.3	236.9	9.6
16:45	7.75	232.1	7.3
17:00	7.4	242.6	8.3
17:15	6.9	250.3	8.2
17:30	6.25	257.4	7
17:45	6.175	256.3	5.4
18:00	5.975	264.7	6.2
18:15	5.8	255.3	4.4
18:30	5.475	244.6	3
18:45	5.3		
19:00	5.125	263.7	3.8
19:15	4.9	260.9	4
19:30	4.6		
19:45	4.6	275.9	3.9
20:00	4.5		
20:15	4.225	269.2	2.7
20:30	4.1	260.1	2.2
20:45	3.825		
21:00	3.675		
21:15	3.525		
21:30	3.4	308.7	2.1
21:45	3.375	299.9	2.1
22:00	3.3	318	2.2
22:15	3.325	318.4	2.3
22:30	3.35	327.6	2.7
22:45	3.35	329.1	2.8
23:00	3.3	324.8	2.4
23:15	3.3	312.6	1.7
23:30	3.225	327.6	2.1
23:45	3.325	341	2.6
00:00	3.475	347	2.8
00:15	3.35	330.8	2.3
00:30	3.5	353.6	3.3
00:45	3.45	337.1	2.6
01:00	3.575	354.8	3.3
01:15	3.575	340.9	2.8
01:30	3.525	337.2	2.3
01:45	3.425	328.9	2.1
02:00	3.55	338.4	2.7
02:15	3.6	341	3
02:30	3.65	333.2	2.9
02:45	3.575	325.3	2.8
03:00	3.55	310.4	2.1
03:15	3.5	317.1	2.4
03:30	3.55	307.7	2.1
03:45	3.475	302.2	2.1
04:00	3.425	296.2	2
04:15	3.25	290.9	1.8
04:30	3.15	284.6	1.4
04:45	3.1	305.8	2.2
05:00	3		
05:15	2.9	291.8	1.6
05:30	2.85	323.2	2.4
05:45	2.85	283.6	1.5
06:00	2.9	281.4	1.7
06:15	3.325	286.2	2.5
06:30	4.075	261.4	3.1
06:45	4.85	235.2	3.9
07:00	5.4	224.2	4.2
07:15	6.025	222.5	5.3
07:30	5.95	240.2	8.2
07:45	6.613	222.2	6.7
08:00	7	232.8	9
08:15	7.457	228.5	9.9
08:30	8.275		
08:45	7.938	213.8	9.4
09:00	7.663	215.3	8.5
09:15	7.375	215.4	10
09:30	7.05	227.8	12
