	foF2	hmF2	TEC
00:00	4.05	348.2	4.1
00:15	4.05	350.7	3.9
00:30	4.05	355.3	3.9
00:45	4	352.6	3.6
01:00	4	357	3.8
01:15	4	355.4	3.7
01:30	3.95	336.8	3
01:45	3.95	336.2	3.3
02:00	4	343.9	3.9
02:15	3.9	340.9	3.9
02:30	3.85	347.9	3.7
02:45	3.85	328.3	3.4
03:00	3.95	343	3.6
03:15	3.95	329.4	2.9
03:30	4.05	344.1	4.1
03:45	3.95	321.6	2.9
04:00	4.05	320.4	3.4
04:15	4.05	296	2.6
04:30	4	282.3	2.6
04:45	3.8	276.2	2.6
05:00	3.9	277.5	2.8
05:15	4.5	281.5	4.4
05:30	5.15	257.8	5
05:45	6	232.4	4.6
06:00	6.2	221.5	4.5
06:15	6.95	219.4	5.7
06:30			7.4
06:45	7.85	223.6	9.3
07:00			10.4
07:15	8.05	228.6	13.6
07:30	8.45	230.8	14.6
07:45	8.5	230	13.4
08:00	9.15	239.2	16.6
08:15			
08:30	9.3	227.7	13.6
08:45	9.5	223.6	18.2
09:00	9.6	222.7	15
09:15			
09:30			
09:45	8.6	219.8	15.5
10:00			4.9
10:15			
10:30	10.35	262	23.9
10:45			
11:00	11.25	234.7	18
11:15	10.75	234.7	21.7
11:30	10.675	243.1	21.6
11:45	10.25	227.6	16.5
12:00	9.7	230.5	17.8
12:15	9.7	243.9	23.3
12:30	9.875	256.1	20.6
12:45	9.65	244.4	19.6
13:00	9.25	232.7	15.4
13:15	8.95	252.4	19.2
13:30	9.05	255	19.9
13:45	9.05	244.5	14.9
14:00	9.25	250.2	17
14:15	9	257.1	19.6
14:30			
14:45	9.5	256.8	18.7
15:00	9.6	251	16
15:15	9.825	254.8	17.7
15:30	10.025	246.7	14.5
15:45	9.75	243.8	14.7
16:00	9.25	239.4	12.7
16:15	8.6	237.6	10.5
16:30			7.2
16:45	6.95	245.2	7.9
17:00	6.45	251.1	6.5
17:15	6.1	246.5	4.2
17:30	6.05	250.4	4.6
17:45	5.95	241.2	3.9
18:00	5.15	235	3.2
18:15	4.5	244.5	3
18:30	4.15	265.4	3.6
18:45	3.9	280	3.1
19:00	3.85	305.9	3.8
19:15	3.65	275	2.5
19:30	3.65	290.1	2.7
19:45	3.6	289	2.3
20:00	3.7	292.3	2.5
20:15	3.7	295.1	2.5
20:30	3.75	302.1	2.9
20:45	3.7	302.4	2.8
21:00	3.7	301.8	2.6
21:15	3.7	300.8	2.5
21:30	3.7	296.2	2.2
21:45	3.6	289.9	2
22:00	3.65	299.9	2.3
22:15	3.65	297.8	2.2
22:30	3.7	304	2.5
22:45	3.6	291	2.2
23:00	3.6	310.2	2.8
23:15	3.6	315.2	2.3
23:30	3.7	338.8	3.6
23:45	3.7	326.6	2.7
00:00	3.65	312.7	2.2
00:15	3.7	318.8	2.6
00:30	3.75	330.5	3
00:45	3.8	333.5	3.2
01:00	3.85	327.2	3
01:15	3.9	318.8	2.8
01:30	3.9	309.8	2.8
01:45	3.85	306	2.7
02:00	3.85	315.5	3.7
02:15	3.7	302	2.3
02:30	3.8	324.2	3.6
02:45	3.75	302.1	2.4
03:00	3.75	305.6	2.6
03:15	3.75	295.7	2.2
03:30	3.85	291.1	2.3
03:45	3.8	281.4	2.2
04:00	3.75	266	2.2
04:15	3.65	262.8	2.2
04:30	3.5	276.3	1.8
04:45			
05:00	3.25	269.9	2.6
05:15	3.9	266.1	3
05:30	4.7	237.8	3.4
05:45	5.25	226.2	4.4
06:00	5.9	219.2	4.7
06:15	5.8	216.5	5.2
06:30	6.55	218	5.9
06:45			4.1
07:00	8	231.2	10.8
07:15	8.1	230.6	11.4
07:30	8.95	234.6	11.9
07:45	9.363	234	13.8
08:00			
08:15	8.85	218.1	12
08:30			10.5
08:45	9.45	219.7	12.3
09:00	9	214	10
09:15	9.7	243.4	21.9
09:30	10.5	234	15.9
09:45	10.4	231.3	19.1
10:00	10.65	227.5	17.2
10:15	10	218.3	15.2
10:30	9.45	229.1	19.5
10:45	8.95	226.2	16
11:00	9	252.8	22.4
11:15			
11:30	9.45	239	18.2
11:45	9.2	238.8	19.4
12:00	9.6	251.4	20.9
12:15	9.7	244	18.9
12:30	9.75	251.2	21
12:45	9.5	246.1	18.5
13:00	9.45	243.3	16.8
13:15	9.4	242.3	16.6
13:30	9.2	241.9	17.4
13:45	9.05	246.6	17.1
14:00	8.85	236.1	14
14:15	8.75	251.8	17.2
