	foF2	hmF2	TEC
00:00	4.05	340.8	3.4
00:15	3.975	338.8	3
00:30	3.975	344.3	3.2
00:45	3.975	341.4	3.1
01:00	3.975	341.5	3.1
01:15	4.025	371.5	4.5
01:30	4.05	351.6	3.9
01:45	4.05	344.4	3.8
02:00	4.075	331.6	3.4
02:15	4.025	324.2	3.4
02:30	3.2	284.3	1.2
02:45	3.825	332.9	2.9
03:00	3.9	344.3	3.3
03:15	3.8	322.3	2.6
03:30	3.975	335	3.4
03:45	3.95	316.9	2.9
04:00	3.925	311.1	3.1
04:15	3.925	299.1	3
04:30	3.975	291.9	3.4
04:45	4.25	278.4	3.7
05:00	4.925	275.2	5.9
05:15	5.75	242	4.8
05:30	6.55	237.4	6.6
05:45	7.175	228.3	9.7
06:00	7.8	227.1	10
06:15	8.225	220.2	10.2
06:30	8.15	231.2	13.8
06:45	8.563	229.1	13.3
07:00	8.575		
07:15	8.65	234.5	16.7
07:30	9.075	232.8	15.4
07:45	9.363	229.7	15.1
08:00	9.175	228.8	15.8
08:15	9.075	231	16.7
08:30	9.175	250.3	23.4
08:45	9.7	236.7	19.7
09:00	9.788	230.4	16.9
09:15	9.325	220.1	15.1
09:30	9.775	230.7	20.4
09:45	9.413	232.7	18.4
10:00	8.875	234.9	19.5
10:15	9.475	248.8	23
10:30	9.575	245.1	23.2
10:45	9.75	241	24.1
11:00	10.55	248.6	26.4
11:15	9.575	212.6	15.3
11:30	8.675	188.8	10.7
11:45	9.975	213.3	12.1
12:00	9.763	213.2	11
12:15	9.3	209.3	10.4
12:30	9.65	206.3	15.1
12:45	9.25	216.5	13.7
13:00	8.725	230.1	18.4
13:15	8.838	277.7	28.6
13:30	8.963	245.6	17.4
13:45	9.163	253.5	19
14:00	9.138	257.4	20.5
14:15	9.388	259.4	20.8
14:30	9.475	253	18.4
14:45	9.788	249.5	16.5
15:00	9.8	245.3	15.8
15:15	9.8		
15:30	9.813	231.2	11
15:45	9.5	230.6	10.3
16:00	8.975	244.9	13.4
16:15	8.075	237.2	9
16:30	7.075	241.9	7.9
16:45	6.25	236.4	4.5
17:00	5.9	255.4	6.1
17:15	5.7	264.1	5.8
17:30	5.5	249.3	3.7
17:45	5.375	268.2	5.7
18:00	5.025	249	3.1
18:15	4.525	249.5	2.9
18:30	4.05	256.6	2.5
18:45	3.725		
19:00	3.6		
19:15	3.65	305	2.4
19:30	3.625	299.7	2.3
19:45	3.675	298	2.2
20:00	3.675	299.9	2.4
20:15	3.7	296.2	2.1
20:30	3.75	296.8	2.1
20:45	3.675	299.3	2.2
21:00	3.675	306.5	2.1
21:15	3.75	313.9	2.3
21:30	3.85	320.1	2.9
21:45	3.925	311.6	2.5
22:00	3.825	302.3	2.4
22:15	3.7	300.5	1.9
22:30	3.825	324.8	3.3
22:45	3.725	310.8	2.4
23:00	3.75	317.1	2.4
23:15	3.775	329.1	3.1
23:30	3.7	319.9	2.5
23:45	3.775	321.4	2.7
00:00	3.725	320.6	2.8
00:15	3.65	325.1	2.5
00:30	3.675	323.6	2.4
00:45	3.75	339.1	3.3
01:00	3.775	333.9	3.1
01:15	3.775	312.5	2.3
01:30	3.8	314.7	2.6
01:45	3.825	317.8	2.9
02:00	3.85	310.1	2.6
02:15	3.8	306.5	2.5
02:30	3.775	308.9	2.6
02:45	3.9	316	3.2
03:00	3.975	297.1	2.5
03:15	3.875	279.4	2.1
03:30	3.725	273.2	1.9
03:45	3.625	279	2
04:00	3.525		
04:15	3.475	279.1	2.3
04:30	3.4	265.6	2
04:45	3.65	276.7	3
05:00	4.5	251.5	3.4
05:15	5.375	231.4	4.4
05:30	6.025	234.3	6.9
05:45	6.275	217.1	5.6
06:00	6.65	221.3	8.5
